season,episode_number,episode_title,season_episode_code
7,14,P.Y.T. (Pretty Young Thing),S-7-EP-14
7,15,Golden Hour,S-7-EP-15
7,16,Not Responsible,S-7-EP-16
7,17,This is How We Do It,S-7-EP-17
7,18,Song Beneath the Song,S-7-EP-18
7,19,It's a Long Way Back,S-7-EP-19
7,20,White Wedding,S-7-EP-20
7,21,I Will Survive,S-7-EP-21
7,22,Unaccompanied Minor,S-7-EP-22
8,1,Free Falling,S-8-EP-1
8,2,She's Gone,S-8-EP-2
8,3,Take the Lead,S-8-EP-3
8,4,What is It About Men,S-8-EP-4
8,5,"Love, Loss and Legacy",S-8-EP-5
8,6,Poker Face,S-8-EP-6
8,7,"Put Me In, Coach",S-8-EP-7
8,8,Heart-Shaped Box,S-8-EP-8
8,9,Dark Was the Night,S-8-EP-9
8,10,Suddenly,S-8-EP-10
8,11,This Magic Moment,S-8-EP-11
8,12,Hope for the Hopeless,S-8-EP-12
8,13,If/Then,S-8-EP-13
8,14,All You Need is Love,S-8-EP-14
8,15,Have You Seen Me Lately?,S-8-EP-15
8,16,If Only You Were Lonely,S-8-EP-16
8,17,One Step Too Far,S-8-EP-17
8,18,The Lion Sleeps Tonight,S-8-EP-18
8,19,Support System,S-8-EP-19
8,20,The Girl with No Name,S-8-EP-20
8,21,Moment of Truth,S-8-EP-21
8,22,Let the Bad Times Roll,S-8-EP-22
8,23,Migration,S-8-EP-23
8,24,Flight,S-8-EP-24
9,1,"Going, Going, Gone",S-9-EP-1
9,2,Remember the Time,S-9-EP-2
9,3,Love the One You're With,S-9-EP-3
9,4,I Saw Her Standing There,S-9-EP-4
9,5,Beautiful Doom,S-9-EP-5
9,6,Second Opinion,S-9-EP-6
9,7,I Was Made for Lovin' You,S-9-EP-7
9,8,Love Turns You Upside Down,S-9-EP-8
9,9,"Run, Baby, Run",S-9-EP-9
9,10,Things We Said Today,S-9-EP-10
9,11,The End is the Beginning is the End,S-9-EP-11
9,12,Walking on a Dream,S-9-EP-12
9,13,Bad Blood,S-9-EP-13
9,14,The Face of Change,S-9-EP-14
9,15,Hard Bargain,S-9-EP-15
9,16,This is Why We Fight,S-9-EP-16
9,17,Transplant Wasteland,S-9-EP-17
9,18,Idle Hands,S-9-EP-18
9,19,Can't Fight This Feeling,S-9-EP-19
9,20,She's Killing Me,S-9-EP-20
9,21,Sleeping Monster,S-9-EP-21
9,22,Do You Believe in Magic,S-9-EP-22
9,23,Readiness is All,S-9-EP-23
9,24,Perfect Storm,S-9-EP-24
10,1,Seal Our Fate,S-10-EP-1
10,2,I Want You With Me,S-10-EP-2
10,3,Everybody's Crying Mercy,S-10-EP-3
10,4,Puttin' on the Ritz,S-10-EP-4
10,5,I Bet It Stung,S-10-EP-5
10,6,Map of You,S-10-EP-6
10,7,Thriller,S-10-EP-7
10,8,Two Against One,S-10-EP-8
10,9,Sorry Seems to Be the Hardest Word,S-10-EP-9
10,10,Somebody That I Used to Know,S-10-EP-10
10,11,Man on the Moon,S-10-EP-11
10,12,"Get Up, Stand Up",S-10-EP-12
10,13,Take It Back,S-10-EP-13
10,14,You've Got to Hide Your Love Away,S-10-EP-14
10,15,Throwing it All Away,S-10-EP-15
10,16,We Gotta Get Out of This Place,S-10-EP-16
10,17,Do You Know?,S-10-EP-17
10,18,You Be Illin',S-10-EP-18
10,19,I'm Winning,S-10-EP-19
10,20,Go It Alone,S-10-EP-20
10,21,Change of Heart,S-10-EP-21
10,22,We Are Never Ever Getting Back Together,S-10-EP-22
10,23,"Everything I Try to Do, Nothing Seems to Turn Out Right",S-10-EP-23
10,24,Fear (of the Unknown),S-10-EP-24
11,1,I Must Have Lost It on the Wind,S-11-EP-1
11,2,Puzzle With a Piece Missing,S-11-EP-2
11,3,Got to Be Real,S-11-EP-3
11,4,Only Mama Knows,S-11-EP-4
11,5,Bend &amp; Break,S-11-EP-5
11,6,Don't Let's Start,S-11-EP-6
11,7,"Could We Start Again, Please?",S-11-EP-7
11,8,Risk,S-11-EP-8
11,9,Where Do We Go From Here,S-11-EP-9
11,10,The Bed's Too Big Without You,S-11-EP-10
11,11,All I Could Do Was Cry,S-11-EP-11
11,12,The Great Pretender,S-11-EP-12
11,13,Staring at the End,S-11-EP-13
11,14,The Distance,S-11-EP-14
11,15,I Feel the Earth Move,S-11-EP-15
11,16,Don't Dream It's Over,S-11-EP-16
11,17,With or Without You,S-11-EP-17
11,18,When I Grow Up,S-11-EP-18
11,19,Crazy Love,S-11-EP-19
11,20,One Flight Down,S-11-EP-20
11,21,How to Save a Life,S-11-EP-21
11,22,She's Leaving Home,S-11-EP-22
11,23,Time Stops,S-11-EP-23
11,24,You're My Home,S-11-EP-24
12,1,Sledgehammer,S-12-EP-1
12,2,Walking Tall,S-12-EP-2
12,3,I Choose You,S-12-EP-3
12,4,Old Time Rock and Roll,S-12-EP-4
12,5,Guess Who's Coming to Dinner,S-12-EP-5
12,6,The Me Nobody Knows,S-12-EP-6
12,7,Something Against You,S-12-EP-7
12,8,Things We Lost in the Fire,S-12-EP-8
12,9,The Sound of Silence,S-12-EP-9
12,10,All I Want is You,S-12-EP-10
12,11,Unbreak My Heart,S-12-EP-11
12,12,My Next Life,S-12-EP-12
12,13,All Eyez on Me,S-12-EP-13
12,14,Odd Man Out,S-12-EP-14
12,15,I Am Not Waiting Anymore,S-12-EP-15
12,16,When It Hurts So Bad,S-12-EP-16
12,17,I Wear the Face,S-12-EP-17
12,18,"There's a Fine, Fine Line",S-12-EP-18
12,19,"It's Alright, Ma (I'm Only Bleeding)",S-12-EP-19
12,20,Trigger Happy,S-12-EP-20
12,21,You're Gonna Need Someone on Your Side,S-12-EP-21
12,22,Mama Tried,S-12-EP-22
12,23,At Last,S-12-EP-23
12,24,Family Affair,S-12-EP-24
13,1,Undo,S-13-EP-1
13,2,Catastrophe and the Cure,S-13-EP-2
13,3,I Ain't No Miracle Worker,S-13-EP-3
13,4,Falling Slowly,S-13-EP-4
13,5,Both Sides Now,S-13-EP-5
13,6,Roar,S-13-EP-6
13,7,Why Try to Change Me Now,S-13-EP-7
13,8,The Room Where It Happens,S-13-EP-8
13,9,You Haven't Done Nothin',S-13-EP-9
13,10,You Can Look (But You'd Better Not Touch),S-13-EP-10
13,11,Jukebox Hero,S-13-EP-11
13,12,None of Your Business,S-13-EP-12
13,13,It Only Gets Much Worse,S-13-EP-13
13,14,Back Where You Belong,S-13-EP-14
13,15,Civil War,S-13-EP-15
13,16,Who Is He (And What Is He To You)?,S-13-EP-16
13,17,Till I Hear It From You,S-13-EP-17
13,18,"Be Still, My Soul",S-13-EP-18
13,19,What's Inside,S-13-EP-19
13,20,In the Air Tonight,S-13-EP-20
13,21,Don't Stop Me Now,S-13-EP-21
13,22,Leave It Inside,S-13-EP-22
13,23,True Colors (Grey's Anatomy),S-13-EP-23
13,24,Ring of Fire,S-13-EP-24
14,1,Break Down the House,S-14-EP-1
14,2,Get Off on the Pain,S-14-EP-2
14,3,Go Big or Go Home,S-14-EP-3
14,4,Ain't That a Kick in the Head,S-14-EP-4
14,5,Danger Zone,S-14-EP-5
14,6,"Come on Down to My Boat, Baby",S-14-EP-6
14,7,"Who Lives, Who Dies, Who Tells Your Story",S-14-EP-7
14,8,Out of Nowhere,S-14-EP-8
14,9,1-800-799-7233,S-14-EP-9
14,10,Personal Jesus,S-14-EP-10
14,11,(Don't Fear) the Reaper,S-14-EP-11
14,12,"Harder, Better, Faster, Stronger",S-14-EP-12
14,13,You Really Got a Hold on Me,S-14-EP-13
14,14,Games People Play,S-14-EP-14
14,15,"Old Scars, Future Hearts",S-14-EP-15
14,16,Not available.,S-14-EP-16
14,17,Not available.,S-14-EP-17
14,18,Not available.,S-14-EP-18
14,19,Not available.,S-14-EP-19
14,20,Not available.,S-14-EP-20
14,21,Not available.,S-14-EP-21
14,22,Not available.,S-14-EP-22
14,23,Not available.,S-14-EP-23
14,24,Not available.,S-14-EP-24
