counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
3,Reed Adamson,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
6,Grandma Anderson,['Car accident injuries'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
8,Jessica Anderson,['Crash injuries'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
11,Harper Avery,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
12,Samuel Norbert Avery,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
13,Alexander Ball,['Stage IV-B pancreatic cancer'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
14,Joyce Basche,"['MRSA', 'Abscess']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
17,Grace Bickham,['End-stage COPD'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
20,Dr. Bones,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
21,Heather Brooks,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
23,Rosemary Bullard,"['Cancer', 'Brain Tumor']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
24,Henry Burton,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
25,Jake Burton,['Advanced craniodiaphyseal dysplasia'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
26,Rich Campion,"['Mediastinal hematoma', 'Aortic transection']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
27,Vivian Carlsmith,['Stage IV Gastrocarcinoma'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
28,Emma Carroll,['Stage IV Gastrocarcinoma'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
29,Casey (Things We Lost in the Fire),"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
30,Jason Castor,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
31,Alison Clark,['Stage 4 Cancer'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
32,Alison Clark (Sympathy for the Parents),"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
33,Gary Clark,['Gunshot wound'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
34,Elsie Clatch,"['Syncope', 'Loculated acute on chronic subdural hematoma']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
35,Annie Connors,"['Tumor', 'Difficulty breathing']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
36,Liz Cooper,"['High output cardiac failure', 'Blood clot', 'Brain death']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
37,Louise Cortez,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
38,Darren Covington,"['Malignant glioma', 'Encephalitis']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
39,Bonnie Crasnoff,['Massive internal injuries'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
40,Elyse Cruse,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
41,Ray Daniels,"['Knee injury', 'Hypertrophic cardiomyopathy']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
42,Danny,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
43,Daphne,"['Infection', 'Septicemia', 'Pseudomonas']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
44,Kevin Davidson,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
45,Troy Davis,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
46,Rachel Dawson,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
47,Elena Debray,['Coma'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
48,Kyle Diaz,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
49,Doc,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
50,William Dunn,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
51,"Denny Duquette, Jr.",['Congestive Heart Failure'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
52,James Evans,['No diagnosis available'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
53,Elizabeth Fallon,['Pancreatic Cancer'],,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
54,Jesse Fannon,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
55,Emile Flores,"['Broken ankle', 'Epidural bleed']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
56,Eugene Foote,"['Broken ankle', 'Epidural bleed']",,,"['S-ERROR-EP-ERROR', 'S-ERROR-EP-ERROR']",,,,,[]
