counter,name,character_type,diagnosis,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,patient,['Contusions'],['No treatment available'],Lou Cutell,single,"['S-12-EP-4', 'S-12-EP-4']",Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,['12']
1,Brad Ackles,patient,"['Lacerations', 'Gunshot wound']",['Debridement'],Ken Marino,single,"['S-2-EP-25', 'S-2-EP-25']",17_Seconds,17 Seconds,17_Seconds,17 Seconds,['2']
2,Karen Adams,patient,"['Nosebleed', ""Wegener's disease""]",['Cauterization'],Molly Hagan,single,"['S-1-EP-3', 'S-1-EP-3']",In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,['1']
3,Reed Adamson,intern resident,['No diagnosis available'],['No treatment available'],Nora Zehetner,multiple,['S-6-EP-23'],,,Sanctuary,Sanctuary,['6']
4,Winnie Adkins,patient,"['Hemothorax', 'Internal bleeding']","['Chest tube', 'Surgery']",Ruby Jay,single,"['S-13-EP-9', 'S-13-EP-9']",You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',['13']
5,Kim Allen,patient,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",['Physician-assisted suicide'],Sara Gilbert,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
6,Grandma Anderson,patient,['Car accident injuries'],['No treatment available'],Evelyn Reese,multiple,['S-8-EP-10'],,,Suddenly,Suddenly,['8']
7,Holly Anderson,patient,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']","['Craniotomy', 'Surgery', 'Organ Harvest']",Christa B. Allen,single,"['S-5-EP-10', 'S-5-EP-10']",All_By_Myself,All By Myself,All_By_Myself,All By Myself,['5']
8,Jessica Anderson,patient,['Crash injuries'],['Attempted resuscitation'],No actor listed.,single,"['S-8-EP-10', 'S-8-EP-10']",Suddenly,Suddenly,Suddenly,Suddenly,['8']
9,Robert Anderson,patient,"['Crushed pelvis', 'Internal bleeding']","['Pelvic reduction', 'Surgery']",Dan Conroy,multiple,['S-8-EP-10'],,,Suddenly,Suddenly,['8']
10,Wallace Anderson,patient,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']","['Total parenteral nutrition', 'Bowel Resection']",Khamani Griffin,single,"['S-6-EP-8', 'S-6-EP-8']",Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,['6']
11,Harper Avery,family,['No diagnosis available'],['No treatment available'],Chelcie Ross,multiple,['S-14-EP-3'],,,Go_Big_or_Go_Home,Go Big or Go Home,['14']
12,Samuel Norbert Avery,family,['No diagnosis available'],['No treatment available'],No actor listed.,single,"['S-11-EP-11', 'S-11-EP-11']",All_I_Could_Do_Was_Cry,All I Could Do Was Cry,All_I_Could_Do_Was_Cry,All I Could Do Was Cry,['11']
13,Alexander Ball,patient,['Stage IV-B pancreatic cancer'],"['Chemotherapy', 'Acupuncture', 'Euthanasia']",Joel Grey,single,"['S-2-EP-13', 'S-2-EP-13']",Nothing_to_Fear,Nothing to Fear,Nothing_to_Fear,Nothing to Fear,['2']
