counter,name,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,patient,['Contusions'],Has diagnosis,['No treatment available'],Lou Cutell,single,['S-12-EP-4'],Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,['12']
1,Brad Ackles,patient,"['Lacerations', 'Gunshot wound']",Has diagnosis,['Debridement'],Ken Marino,single,['S-2-EP-25'],17_Seconds,17 Seconds,17_Seconds,17 Seconds,['2']
3,Reed Adamson,intern resident,['No diagnosis available'],,['No treatment available'],Nora Zehetner,multiple,"['S-6-EP-5', 'S-6-EP-23']",Invasion,Invasion,Sanctuary,Sanctuary,['6']
4,Winnie Adkins,patient,"['Hemothorax', 'Internal bleeding']",Has diagnosis,"['Chest tube', 'Surgery']",Ruby Jay,single,['S-13-EP-9'],You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',['13']
5,Kim Allen,patient,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",Has diagnosis,['Physician-assisted suicide'],Sara Gilbert,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
6,Grandma Anderson,patient,['Car accident injuries'],Has diagnosis,['No treatment available'],Evelyn Reese,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,['8']
7,Holly Anderson,patient,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",Has diagnosis,"['Craniotomy', 'Surgery', 'Organ Harvest']",Christa B. Allen,single,['S-5-EP-10'],All_By_Myself,All By Myself,All_By_Myself,All By Myself,['5']
8,Jessica Anderson,patient,['Crash injuries'],Has diagnosis,['Attempted resuscitation'],No actor listed.,single,['S-8-EP-10'],Suddenly,Suddenly,Suddenly,Suddenly,['8']
9,Robert Anderson,patient,"['Crushed pelvis', 'Internal bleeding']",Has diagnosis,"['Pelvic reduction', 'Surgery']",Dan Conroy,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,['8']
10,Wallace Anderson,patient,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",Has diagnosis,"['Total parenteral nutrition', 'Bowel Resection']",Khamani Griffin,single,['S-6-EP-8'],Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,['6']
11,Harper Avery,family,['No diagnosis available'],,['No treatment available'],Chelcie Ross,multiple,"['S-6-EP-16', 'S-14-EP-3']",Perfect_Little_Accident,Perfect Little Accident,Go_Big_or_Go_Home,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,family,['No diagnosis available'],,['No treatment available'],No actor listed.,single,['S-11-EP-11'],All_I_Could_Do_Was_Cry,All I Could Do Was Cry,All_I_Could_Do_Was_Cry,All I Could Do Was Cry,['11']
14,Joyce Basche,patient,"['MRSA', 'Abscess']",Has diagnosis,['Cefazolin'],Sarah Lilly,multiple,"['S-9-EP-20', 'S-9-EP-21']",She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
15,Cathy Becker,patient,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",Has diagnosis,"['Debridement', 'Silver sulfadiazine', 'Cefazolin', 'Ibuprofen', 'Morphine', 'Chest tube', 'Cricothyrotomy', 'Oxygen', 'Central line']",Erinn Hayes,single,['S-6-EP-6'],I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,['6']
16,Ed Beckert,patient,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",Has diagnosis,['No treatment available'],Newell Alexander,single,['S-7-EP-19'],It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
17,Grace Bickham,patient,['End-stage COPD'],Has diagnosis,"['Hospice care', 'Intubation']",Dona Hardy,single,['S-2-EP-15'],Break_on_Through,Break on Through,Break_on_Through,Break on Through,['2']
18,Andrew Billings,patient,"['Cardiac myxoma', 'Brain death']",Has diagnosis,['Tumor resection'],Don R. Williams,single,['S-13-EP-5'],Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,['13']
19,Charlie Bilson,patient,"['Crush injuries', 'Internal bleeding', 'Broken nose']",Has diagnosis,['Surgery'],John Pollono,single,['S-8-EP-14'],All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,['8']
20,Dr. Bones,others,['No diagnosis available'],,['No treatment available'],No actor listed.,,['S-3-EP-1'],Time_Has_Come_Today,Time Has Come Today,,,[]
21,Heather Brooks,intern resident,['No diagnosis available'],,['No treatment available'],Tina Majorino,multiple,"['S-9-EP-1', 'S-10-EP-2']","Going,_Going,_Gone","Going, Going, Gone",I_Want_You_With_Me,I Want You With Me,"['9', '10']"
22,Teresa Brotherton,patient,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",Has diagnosis,['Surgery'],Enuka Okuma,single,['S-4-EP-7'],Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,['4']
23,Rosemary Bullard,patient,"['Cancer', 'Brain Tumor']",Has diagnosis,['Tumor resection'],Bonnie Bartlett,single,['S-5-EP-7'],Rise_Up,Rise Up,Rise_Up,Rise Up,['5']
24,Henry Burton,family,['No diagnosis available'],,['No treatment available'],Scott Foley,multiple,"['S-7-EP-10', 'S-8-EP-10']",Adrift_and_at_Peace,Adrift and at Peace,Suddenly,Suddenly,"['7', '8']"
25,Jake Burton,patient,['Advanced craniodiaphyseal dysplasia'],Has diagnosis,"['Tumor resection', 'Plastic surgery']",Jesse Plemons,single,['S-2-EP-18'],Yesterday,Yesterday,Yesterday,Yesterday,['2']
26,Rich Campion,patient,"['Mediastinal hematoma', 'Aortic transection']",Has diagnosis,['Endovascular repair'],Jordan Holland,single,['S-9-EP-13'],Bad_Blood,Bad Blood,Bad_Blood,Bad Blood,['9']
28,Emma Carroll,patient,['No diagnosis available'],,['Attempted resuscitation'],Elizabeth Franz,single,['S-8-EP-18'],The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,['8']
29,Casey (Things We Lost in the Fire),patient,"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",Has diagnosis,['Palliative care'],Casey Sander,single,['S-12-EP-8'],Things_We_Lost_in_the_Fire,Things We Lost in the Fire,Things_We_Lost_in_the_Fire,Things We Lost in the Fire,['12']
30,Jason Castor,patient,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",Has diagnosis,"['Surgery', 'Ventilator']",Charlie Hofheimer,single,['S-10-EP-17'],Do_You_Know%3F,Do You Know?,Do_You_Know%3F,Do You Know?,['10']
31,Alison Clark,patient,['Stage 4 Cancer'],Has diagnosis,['I.L. 2'],Liza Weil,single,['S-5-EP-23'],Here%27s_to_Future_Days,Here's to Future Days,Here%27s_to_Future_Days,Here's to Future Days,['5']
