counter,name,character_type,diagnosis,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
60,Brett Gibson,patient,"['Gunshot wounds', 'Stroke', 'Brain death']","['Cricothyrotomy', 'Surgery', 'Tracheal repair', 'Organ harvest']",William Nicol,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
61,Peter Gibson,patient,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']","['Subclavian line', 'Chest tubes', 'Organ harvest']",Jake Green,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
62,Greta,patient,['Inoperable Glioma'],['Clinical Trial'],Regina Taylor,single,"['S-4-EP-15', 'S-4-EP-15']",Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,['4']
63,Ellis Grey,family,['No diagnosis available'],['No treatment available'],Kate Burton,multiple,"['S-1-EP-1', 'S-14-EP-7']",A_Hard_Day%27s_Night,A Hard Day's Night,"Who_Lives,_Who_Dies,_Who_Tells_Your_Story","Who Lives, Who Dies, Who Tells Your Story","['1', '14']"
64,Lexie Grey,intern resident,['No diagnosis available'],['No treatment available'],Chyler Leigh,multiple,"['S-3-EP-24', 'S-8-EP-24']",Testing_1-2-3,Testing 1-2-3,Flight,Flight,"['3', '8']"
65,Susan Grey,family,['No diagnosis available'],['No treatment available'],Mare Winningham,multiple,"['S-2-EP-22', 'S-3-EP-23']",The_Name_of_the_Game,The Name of the Game,"The_Other_Side_of_This_Life,_Part_2","The Other Side of This Life, Part 2","['2', '3']"
66,Nick Hanscom,patient,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']","['Tumor resection', 'Pressure dressing', 'Surgery']",Seth Green,multiple,"['S-4-EP-9', 'S-4-EP-10']","Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
67,Jen Harmon,patient,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']","['Craniotomy', 'Bronchodilator', 'Intrauterine transfusion', 'Steroids', 'EC/IC bypass', 'Temporal lobectomy', 'C-section delivery']",Jennifer Westfeldt,multiple,"['S-5-EP-14', 'S-5-EP-16']",Beat_Your_Heart_Out,Beat Your Heart Out,An_Honest_Mistake,An Honest Mistake,['5']
68,Randy Helsby,patient,['Abdominal sarcoma'],['Surgery'],Jocko Sims,single,"['S-6-EP-4', 'S-6-EP-4']",Tainted_Obligation,Tainted Obligation,Tainted_Obligation,Tainted Obligation,['6']
69,Emily Jensen,patient,"['Pregnancy', 'Placenta Percreta']",['C-section delivery'],Luciana Faulhaber,single,"['S-11-EP-7', 'S-11-EP-7']","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?",['11']
70,Kirk Jensen,patient,['Bronchiolitis obliterans'],"['Oral medication', 'Intubation', 'Mechanical ventilation']",Ian Nelson,single,"['S-2-EP-2', 'S-2-EP-2']",Equal_and_Opposite,Equal and Opposite,Equal_and_Opposite,Equal and Opposite,['2']
