counter,name,character_type,diagnosis,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
60,David Gibbs,patient,['No diagnosis available'],['No treatment available'],Michael B. Silver,multiple,['S-5-EP-12'],,,Losing_Battles,Losing Battles,['5']
61,Brett Gibson,patient,"['Gunshot wounds', 'Stroke', 'Brain death']","['Cricothyrotomy', 'Surgery', 'Tracheal repair', 'Organ harvest']",William Nicol,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
62,Peter Gibson,patient,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']","['Subclavian line', 'Chest tubes', 'Organ harvest']",Jake Green,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
63,Susan Grant,family,['No diagnosis available'],['No treatment available'],Ann Cusack,multiple,['S-4-EP-13'],,,Blind_Love,Blind Love,['4']
64,Greta,patient,['Inoperable Glioma'],['Clinical Trial'],Regina Taylor,single,"['S-4-EP-15', 'S-4-EP-15']",Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,['4']
65,Ellis Grey,family,['No diagnosis available'],['No treatment available'],Kate Burton,multiple,['S-14-EP-7'],,,"Who_Lives,_Who_Dies,_Who_Tells_Your_Story","Who Lives, Who Dies, Who Tells Your Story",['14']
66,Lexie Grey,intern resident,['No diagnosis available'],['No treatment available'],Chyler Leigh,multiple,"['S-3-EP-24', 'S-ERROR-EP-ERROR']",Testing_1-2-3,Testing 1-2-3,,,['3']
67,Susan Grey,family,['No diagnosis available'],['No treatment available'],Mare Winningham,multiple,['S-3-EP-23'],,,"The_Other_Side_of_This_Life,_Part_2","The Other Side of This Life, Part 2",['3']
68,Nick Hanscom,patient,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']","['Tumor resection', 'Pressure dressing', 'Surgery']",Seth Green,multiple,['S-4-EP-10'],,,"Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
69,Jen Harmon,patient,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']","['Craniotomy', 'Bronchodilator', 'Intrauterine transfusion', 'Steroids', 'EC/IC bypass', 'Temporal lobectomy', 'C-section delivery']",Jennifer Westfeldt,multiple,"['S-5-EP-14', 'S-ERROR-EP-ERROR']",Beat_Your_Heart_Out,Beat Your Heart Out,,,['5']
70,Randy Helsby,patient,['Abdominal sarcoma'],['Surgery'],Jocko Sims,single,"['S-6-EP-4', 'S-6-EP-4']",Tainted_Obligation,Tainted Obligation,Tainted_Obligation,Tainted Obligation,['6']
71,Emily Jensen,patient,"['Pregnancy', 'Placenta Percreta']",['C-section delivery'],Luciana Faulhaber,single,"['S-11-EP-7', 'S-11-EP-7']","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?",['11']
72,Kirk Jensen,patient,['Bronchiolitis obliterans'],"['Oral medication', 'Intubation', 'Mechanical ventilation']",Ian Nelson,single,"['S-2-EP-2', 'S-2-EP-2']",Equal_and_Opposite,Equal and Opposite,Equal_and_Opposite,Equal and Opposite,['2']
73,JJ,patient,['Severe burns'],['Debridement'],Nicole Sullivan,single,"['S-11-EP-22', 'S-11-EP-22']",She%27s_Leaving_Home,She's Leaving Home,She%27s_Leaving_Home,She's Leaving Home,['11']
74,Jordan,patient,['No diagnosis available'],['No treatment available'],Roberto Urbina,single,"['S-5-EP-22', 'S-5-EP-22']",What_a_Difference_a_Day_Makes,What a Difference a Day Makes,What_a_Difference_a_Day_Makes,What a Difference a Day Makes,['5']
75,Lillie Jordan,patient,['Stage IV ovarian cancer'],"['Chemotherapy', 'Hysterectomy', 'Morphine']",Rosalind Chao,single,"['S-3-EP-6', 'S-3-EP-6']",Slip_Slidin%27_Away,Slip Slidin' Away,Slip_Slidin%27_Away,Slip Slidin' Away,['3']
76,Kathleen Kane,patient,"[""Colles' fracture"", 'Puncture wounds', 'Coagulation disorder', 'Stroke']","['Surgery', 'Splinting']",Molly Leland,single,"['S-10-EP-3', 'S-10-EP-3']",Everybody%27s_Crying_Mercy,Everybody's Crying Mercy
