counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
80,Keith,True Colors,single,True Colors (Grey's Anatomy),,
81,Jordan Kenley,Wish You Were Here,single,Wish You Were Here,,
82,Vincent Kenner,Wish You Were Here,multiple,"Dream a Little Dream of Me, Part 1","Dream a Little Dream of Me, Part 2",['5']
83,Ryan Kerrigan,Wes Brown,multiple,If I Hadn't Forgotten...,Who We Are,[]
84,Daniel Kiefer,I Choose You,single,I Choose You,,
85,Jeffrey King,"Come on Down to My Boat, Baby",single,"Come on Down to My Boat, Baby",,
86,Seth Lepik,Tom Costello,multiple,She's Killing Me,Sleeping Monster,['9']
87,Billy Linneman,Suicide is Painless,single,Suicide is Painless,,
88,Brett Loveman,Home Again,single,Home Again,,
89,Robert Martin,Curtis Armstrong,multiple,Much too Much,Owner of a Lonely Heart,['2']
90,Matty,It Only Gets Much Worse,single,It Only Gets Much Worse,,
91,Griffin McColl,Odd Man Out,single,Odd Man Out,,
92,Gretchen McKay,"There's a Fine, Fine Line",single,"There's a Fine, Fine Line",,
93,Holden McKee,Thanks for the Memories,single,Thanks for the Memories,,
94,Francesca McNeil,Harley Graham,multiple,You Be Illin',Change of Heart,['10']
95,Donald Mercer,Throwing it All Away,single,Throwing it All Away,,
96,Michael,One Step Too Far,single,One Step Too Far,,
97,Michelle,Sydney Tamiia Poitier,multiple,Love and Lies,Step One,[]
98,Timothy Miller,These Ties That Bind,single,These Ties That Bind,,
99,Dan Mooney,Suicide is Painless,single,Suicide is Painless,,
100,Gloria Murphy,You Break My Heart,single,You Break My Heart,,
101,Reilly Nash,"Slow Night, So Long",single,"Slow Night, So Long",,
102,Nate,In Which Dell Finds His Fight,single,In Which Dell Finds His Fight,,
103,Phillip Nichols,The Time Warp,single,The Time Warp,,
104,Nick,Jordan Belfi,multiple,Let the Bad Times Roll,Migration,['8']
105,Benjamin O'Leary,I Am a Tree,single,I Am a Tree,,
106,George O'Malley,T.R. Knight,multiple,A Hard Day's Night,Good Mourning,"['1', '2', '3', '4', '5', '6']"
107,Harold O'Malley,George Dzundza,multiple,Thanks for the Memories,"Six Days, Part 2","['2', '3']"
108,Bradley Parker,Transplant Wasteland,single,Transplant Wasteland,,
109,William Dell Parker,Chris Lowell,multiple,GA,Grey's Anatomy,['3']
110,Heather Parker,Agnes Bruckner,multiple,Contamination,Blowups,[]
111,Charles Percy,Robert Baker,multiple,Invasion,Unbreak My Heart,"['6', '8', '12']"
112,Michael Perkins,Contamination,single,Contamination,,
113,Mr. Peterson,I Must Have Lost It on the Wind,single,I Must Have Lost It on the Wind,,
114,Thomas Peterson,I Must Have Lost It on the Wind,multiple,Have You Seen Me Lately?,Moment of Truth,['8']
115,Phillip,What You Do for Love,single,What You Do for Love,,
116,Diane Pierce,LaTanya Richardson Jackson,multiple,None of Your Business,"Be Still, My Soul",['13']
117,Mary Portman,Mandy Moore,multiple,Sanctuary,That's Me Trying,"['6', '7']"
118,Gladys Pulcher,It's a Long Way Back,single,It's a Long Way Back,,
119,Nikki Ratlin,Superstition,single,Superstition,,
120,Marjorie Reed,Puzzle With a Piece Missing,single,Puzzle With a Piece Missing,,
121,Robbie Reeves,Roar,single,Roar,,
122,Lily Ann Reilly,The World According to Jake,single,The World According to Jake,,
123,Melanie Reynolds,Damage Case,single,Damage Case,,
124,Oliver Richter,Golden Hour,single,Golden Hour,,
126,Phillip Robinson,Jason O'Mara,multiple,Where the Wild Things Are,Piece of My Heart,['4']
127,Scott Robinson,Where the Wild Things Are,single,Where the Wild Things Are,,
128,Cathy Rogerson,My Favorite Mistake,single,My Favorite Mistake,,
129,Emily Russell,My Favorite Mistake,multiple,Much too Much,Owner of a Lonely Heart,['2']
130,Ruthie Sales,The Heart of the Matter,single,The Heart of the Matter,,
131,Tony Savitch,A Hard Day's Night,single,A Hard Day's Night,,
132,Erin Shandley,Haunt You Every Day,single,Haunt You Every Day,,
133,Unnamed,"Gone, Baby, Gone",single,"Gone, Baby, Gone",,
134,Derek Christopher Shepherd,Patrick Dempsey,multiple,GA,Private Practice,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']"
135,Mr. Shepherd,"Who We Are</a> <i>(flashback only)</i></div>
</div>

<div class=""pi-item pi-data pi-item-spacing pi-border-color"">
	
		<h3 class=""pi-data-label pi-secondary-font"">Seasons</h3>
	
	<div class=""pi-data-value pi-font""><b><a href=""/wiki/Private_Practice"" title=""Private Practice"">PP</a>:</b> <a href=""/wiki/Season_5_(Private_Practice)"" title=""Season 5 (Private Practice)"">5",single,Who We Are,,
136,Lenny Shulte,Seal Our Fate,single,Seal Our Fate,,
137,David Simons,What a Difference a Day Makes,single,What a Difference a Day Makes,,
138,"""Cosmo"" Singh","There's a Fine, Fine Line",single,"There's a Fine, Fine Line",,
139,Mark Everett Sloan,Eric Dane,multiple,GA,Grey's Anatomy,"['2', '3', '4', '5', '6', '7', '8', '9']"
140,Jessica Smithson,Sweet Surrender,single,Sweet Surrender,,
141,Drea Spencer,And Then There Was One,single,And Then There Was One,,
142,Edward Squire,Old Time Rock and Roll,single,Old Time Rock and Roll,,
143,Jeremiah Tate,"Deny, Deny, Deny",single,"Deny, Deny, Deny",,
144,Steve Tate,Got to Be Real,single,Got to Be Real,,
145,Nancy Temple,How Insensitive,single,How Insensitive,,
146,Craig Thomas,William Daniels,multiple,Let the Bad Times Roll,Beautiful Doom,"['8', '9']"
147,Kendra Thomas,17 Seconds,single,17 Seconds,,
148,Giselle Toussant,Time Has Come Today,single,Time Has Come Today,,
149,Stu Vargas,Let It Be,single,Let It Be,,
150,Blair Vinson,Don't Dream It's Over,single,Don't Dream It's Over,,
151,Vivian,Sanctuary,single,Sanctuary,,
152,Erica Warner,A.J. Langer,multiple,Deal With It,It Was Inevitable,[]
153,Mr. Warren,Things We Said Today,single,Things We Said Today,,
154,Jeremy Weaver,Don't Let's Start,single,Don't Let's Start,,
155,Adele Webber,Loretta Devine,multiple,Enough is Enough,Things We Said Today,"['2', '3', '4', '5', '6', '7', '8', '9']"
156,Gail Webber,The Room Where It Happens,single,The Room Where It Happens,,
157,Mickey Wenschler,Map of You,single,Map of You,,
158,Clark West,Love/Addiction,single,Love/Addiction,,
159,Jeremy West,"Freedom, Part 1",single,"Freedom, Part 1",,
160,William White,James Morrison,multiple,What You Do for Love,The End of a Beautiful Friendship,[]
162,Frances Wilder,Louise Fletcher,multiple,Can't Find My Way Back Home,The Hardest Part,[]
163,Peter Wilder,Tim Daly,multiple,GA,Grey's Anatomy,['3']
164,Rory Williams,You've Got to Hide Your Love Away,single,You've Got to Hide Your Love Away,,
165,Ken Wilson,"In Which We Meet Addison, a Nice Girl From Somewhere Else",single,"In Which We Meet Addison, a Nice Girl From Somewhere Else",,
166,Bob Yates,Playing God,single,Playing God,,
167,Charlie Yost,Jack Axelrod,multiple,Let the Angels Commit,Let the Truth Sting,"['3', '4']"
168,Brian Young,Who Is He (And What Is He To You)?,single,Who Is He (And What Is He To You)?,,
169,Dylan Young,Kyle Chandler,multiple,It's the End of the World,Some Kind of Miracle,"['2', '3']"
170,Yvonne,Into You Like a Train,single,Into You Like a Train,,
