counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,single,['S-12-EP-4'],Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,[]
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,single,['S-2-EP-25'],17_Seconds,17 Seconds,17_Seconds,17 Seconds,[]
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,single,['S-1-EP-3'],In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,[]
3,Reed Adamson,['No diagnosis available'],,single,[],In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,[]
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,single,['S-13-EP-9'],You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',[]
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,[]
6,Grandma Anderson,['Car accident injuries'],,single,[],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,[]
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,single,['S-5-EP-10'],All_By_Myself,All By Myself,All_By_Myself,All By Myself,[]
8,Jessica Anderson,['Crash injuries'],,single,['S-8-EP-10'],Suddenly,Suddenly,Suddenly,Suddenly,[]
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,single,[],Suddenly,Suddenly,Suddenly,Suddenly,[]
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,single,['S-6-EP-8'],Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,[]
11,Harper Avery,['No diagnosis available'],,single,[],Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,[]
12,Samuel Norbert Avery,['No diagnosis available'],,single,['S-11-EP-11'],All_I_Could_Do_Was_Cry,All I Could Do Was Cry,All_I_Could_Do_Was_Cry,All I Could Do Was Cry,[]
13,Alexander Ball,['Stage IV-B pancreatic cancer'],,single,['S-2-EP-13'],Nothing_to_Fear,Nothing to Fear,Nothing_to_Fear,Nothing to Fear,[]
14,Joyce Basche,"['MRSA', 'Abscess']",,single,[],Nothing_to_Fear,Nothing to Fear,Nothing_to_Fear,Nothing to Fear,[]
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",,single,['S-6-EP-6'],I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,[]
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",,single,['S-7-EP-19'],It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,[]
17,Grace Bickham,['End-stage COPD'],,single,['S-2-EP-15'],Break_on_Through,Break on Through,Break_on_Through,Break on Through,[]
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",,single,['S-13-EP-5'],Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,[]
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",,single,['S-8-EP-14'],All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,[]
20,Dr. Bones,['No diagnosis available'],,single,[],All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,[]
