counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
0,Abraham,n/a,single,Old Time Rock and Roll,,
1,Brad Ackles,n/a,single,17 Seconds,,
2,Karen Adams,n/a,single,In Which Addison Finds the Magic,,
3,Reed Adamson,Nora Zehetner,multiple,Invasion,Sanctuary,['6']
4,Winnie Adkins,n/a,single,You Haven't Done Nothin',,
5,Kim Allen,n/a,single,Suicide is Painless,,
6,Grandma Anderson,Evelyn Reese,multiple,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,n/a,single,All By Myself,,
8,Jessica Anderson,n/a,single,Suddenly,,
9,Robert Anderson,Dan Conroy,multiple,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,n/a,single,Invest in Love,,
11,Harper Avery,Chelcie Ross,multiple,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,n/a,single,All I Could Do Was Cry,,
13,Alexander Ball,n/a,single,Nothing to Fear,,
14,Joyce Basche,Sarah Lilly,multiple,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,n/a,single,I Saw What I Saw,,
16,Ed Beckert,n/a,single,It's a Long Way Back,,
17,Grace Bickham,n/a,single,Break on Through,,
18,Andrew Billings,n/a,single,Both Sides Now,,
19,Charlie Bilson,n/a,single,All You Need is Love,,
20,Dr. Bones,n/a,multiple,Time Has Come Today,,
21,Heather Brooks,Tina Majorino,multiple,"Going, Going, Gone",I Want You With Me,"['9', '10']"
22,Teresa Brotherton,n/a,single,Physical Attraction... Chemical Reaction,,
23,Rosemary Bullard,n/a,single,Rise Up,,
24,Henry Burton,Scott Foley,multiple,Adrift and at Peace,Suddenly,"['7', '8']"
25,Jake Burton,n/a,single,Yesterday,,
26,Rich Campion,Jordan Holland,single,Bad Blood,,
27,Vivian Carlsmith,n/a,single,Apron Strings,,
28,Emma Carroll,n/a,single,The Lion Sleeps Tonight,,
29,Casey,n/a,single,Things We Lost in the Fire,,
30,Jason Castor,n/a,single,Do You Know?,,
31,Alison Clark,n/a,single,Here's to Future Days,,
32,Alison Clark,n/a,single,Sympathy for the Parents,,
33,Gary Clark,Michael O'Neill,multiple,Sympathy for the Parents,Death and All His Friends,['6']
34,Elsie Clatch,n/a,single,Till I Hear It From You,,
35,Annie Connors,n/a,single,If Tomorrow Never Comes,,
36,Liz Cooper,n/a,single,We Are Never Ever Getting Back Together,,
37,Louise Cortez,n/a,single,Something's Gotta Give,,
38,Darren Covington,n/a,single,The Becoming,,
39,Bonnie Crasnoff,Monica Keena,multiple,Into You Like a Train,Some Kind of Miracle,"['2', '3']"
40,Elyse Cruse,n/a,single,Can't Fight This Feeling,,
41,Ray Daniels,n/a,single,Know When to Fold,,
42,Danny,n/a,single,With or Without You,,
43,Daphne,n/a,single,My Next Life,,
44,Kevin Davidson,n/a,single,"Winning a Battle, Losing the War",,
45,Troy Davis,n/a,single,Drifting Back,,
46,Rachel Dawson,Enid Graham,multiple,Can't Fight This Feeling,Sleeping Monster,['9']
47,Elena Debray,n/a,single,Crime and Punishment,,
48,Kyle Diaz,Wilmer Valderrama,multiple,I Wear the Face,At Last,['12']
49,Doc,Wilmer Valderrama,multiple,Owner of a Lonely Heart,Some Kind of Miracle,"['2', '3']"
50,William Dunn,Eric Stoltz,multiple,Wish You Were Here,Stairway to Heaven,['5']
51,"Dennison Duquette, Jr.",Jeffrey Dean Morgan,multiple,Begin the Begin,Here's to Future Days,"['2', '3', '5']"
52,James Evans,James Remar,multiple,Puttin' on the Ritz,Take It Back,['10']
53,Elizabeth Fallon,Anna Maria Horsford,multiple,No Man's Land,Some Kind of Miracle,"['1', '3']"
54,Jesse Fannon,n/a,single,Superstition,,
55,Emile Flores,n/a,single,Valentine's Day Massacre,,
56,Eugene Foote,n/a,single,Blues for Sister Someone,,
57,Beatrice Bradford Forbes,JoBeth Williams,multiple,Blowups,Home Again,[]
58,Jordan Franklin,n/a,single,Who's Zoomin' Who?,,
59,Peter Gekofsky,n/a,single,Suicide is Painless,,
60,Stan Giamatti,Theo Rossi,multiple,"Crash Into Me, Part 1","Crash Into Me, Part 2",['4']
61,David Gibbs,Michael B. Silver,multiple,God Laughs,Losing Battles,[]
62,Brett Gibson,n/a,single,When I Grow Up,,
