counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,single,"['S-12-EP-4', 'S-12-EP-4']",Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,[]
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,single,"['S-2-EP-25', 'S-2-EP-25']",17_Seconds,17 Seconds,17_Seconds,17 Seconds,[]
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,single,"['S-1-EP-3', 'S-1-EP-3']",In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,[]
3,Reed Adamson,['No diagnosis available'],,multiple,"['S-6-EP-5', 'S-6-EP-23']",Invasion,Invasion,Sanctuary,Sanctuary,[]
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,single,"['S-13-EP-9', 'S-13-EP-9']",You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',[]
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,[]
6,Grandma Anderson,['Car accident injuries'],,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,[]
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,single,"['S-5-EP-10', 'S-5-EP-10']",All_By_Myself,All By Myself,All_By_Myself,All By Myself,[]
8,Jessica Anderson,['Crash injuries'],,single,"['S-8-EP-10', 'S-8-EP-10']",Suddenly,Suddenly,Suddenly,Suddenly,[]
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,[]
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,single,"['S-6-EP-8', 'S-6-EP-8']",Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,[]
11,Harper Avery,['No diagnosis available'],,multiple,"['S-6-EP-16', 'S-14-EP-3']",Perfect_Little_Accident,Perfect Little Accident,Go_Big_or_Go_Home,Go Big or Go Home,[]
12,Samuel Norbert Avery,['No diagnosis available'],,single,"['S-11-EP-11', 'S-11-EP-11']",All_I_Could_Do_Was_Cry,All I Could Do Was Cry,All_I_Could_Do_Was_Cry,All I Could Do Was Cry,[]
13,Alexander Ball,['Stage IV-B pancreatic cancer'],,single,"['S-2-EP-13', 'S-2-EP-13']",Nothing_to_Fear,Nothing to Fear,Nothing_to_Fear,Nothing to Fear,[]
14,Joyce Basche,"['MRSA', 'Abscess']",,multiple,"['S-9-EP-20', 'S-9-EP-21']",She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,[]
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",,single,"['S-6-EP-6', 'S-6-EP-6']",I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,[]
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",,single,"['S-7-EP-19', 'S-7-EP-19']",It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,[]
17,Grace Bickham,['End-stage COPD'],,single,"['S-2-EP-15', 'S-2-EP-15']",Break_on_Through,Break on Through,Break_on_Through,Break on Through,[]
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",,single,"['S-13-EP-5', 'S-13-EP-5']",Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,[]
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",,single,"['S-8-EP-14', 'S-8-EP-14']",All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,[]
20,Dr. Bones,['No diagnosis available'],,multiple,['S-3-EP-1'],Time_Has_Come_Today,Time Has Come Today,All_You_Need_is_Love,All You Need is Love,[]
21,Heather Brooks,['No diagnosis available'],,multiple,"['S-9-EP-1', 'S-10-EP-2']","Going,_Going,_Gone","Going, Going, Gone",I_Want_You_With_Me,I Want You With Me,[]
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",,single,"['S-4-EP-7', 'S-4-EP-7']",Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,[]
23,Rosemary Bullard,"['Cancer', 'Brain Tumor']",,single,"['S-5-EP-7', 'S-5-EP-7']",Rise_Up,Rise Up,Rise_Up,Rise Up,[]
24,Henry Burton,['No diagnosis available'],,multiple,"['S-7-EP-10', 'S-8-EP-10']",Adrift_and_at_Peace,Adrift and at Peace,Suddenly,Suddenly,[]
25,Jake Burton,['Advanced craniodiaphyseal dysplasia'],,single,"['S-2-EP-18', 'S-2-EP-18']",Yesterday,Yesterday,Yesterday,Yesterday,[]
26,Rich Campion,"['Mediastinal hematoma', 'Aortic transection']",,single,"['S-9-EP-13', 'S-9-EP-13']",Bad_Blood,Bad Blood,Bad_Blood,Bad Blood,[]
27,Vivian Carlsmith,['Stage IV Gastrocarcinoma'],,single,"['S-6-EP-6', 'S-6-EP-6']",Apron_Strings,Apron Strings,Apron_Strings,Apron Strings,[]
28,Emma Carroll,['Stage IV Gastrocarcinoma'],,single,"['S-8-EP-18', 'S-8-EP-18']",The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,[]
29,Casey (Things We Lost in the Fire),"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",,single,"['S-12-EP-8', 'S-12-EP-8']",Things_We_Lost_in_the_Fire,Things We Lost in the Fire,Things_We_Lost_in_the_Fire,Things We Lost in the Fire,[]
30,Jason Castor,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",,single,"['S-10-EP-17', 'S-10-EP-17']",Do_You_Know%3F,Do You Know?,Do_You_Know%3F,Do You Know?,[]
31,Alison Clark,['Stage 4 Cancer'],,single,"['S-5-EP-23', 'S-5-EP-23']",Here%27s_to_Future_Days,Here's to Future Days,Here%27s_to_Future_Days,Here's to Future Days,[]
32,Alison Clark (Sympathy for the Parents),"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']",,single,"['S-6-EP-19', 'S-6-EP-19']",Sympathy_for_the_Parents,Sympathy for the Parents,Sympathy_for_the_Parents,Sympathy for the Parents,[]
33,Gary Clark,['Gunshot wound'],,multiple,"['S-6-EP-19', 'S-6-EP-24']",Sympathy_for_the_Parents,Sympathy for the Parents,Death_and_All_His_Friends,Death and All His Friends,[]
34,Elsie Clatch,"['Syncope', 'Loculated acute on chronic subdural hematoma']",,single,"['S-13-EP-17', 'S-13-EP-17']",Till_I_Hear_It_From_You,Till I Hear It From You,Till_I_Hear_It_From_You,Till I Hear It From You,[]
35,Annie Connors,"['Tumor', 'Difficulty breathing']",,single,"['S-1-EP-6', 'S-1-EP-6']",If_Tomorrow_Never_Comes,If Tomorrow Never Comes,If_Tomorrow_Never_Comes,If Tomorrow Never Comes,[]
36,Liz Cooper,"['High output cardiac failure', 'Blood clot', 'Brain death']",,single,"['S-10-EP-22', 'S-10-EP-22']",We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,[]
37,Louise Cortez,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']",,single,"['S-7-EP-8', 'S-7-EP-8']",Something%27s_Gotta_Give,Something's Gotta Give,Something%27s_Gotta_Give,Something's Gotta Give,[]
38,Darren Covington,"['Malignant glioma', 'Encephalitis']",,single,"['S-4-EP-14', 'S-4-EP-14']",The_Becoming,The Becoming,The_Becoming,The Becoming,[]
39,Bonnie Crasnoff,['Massive internal injuries'],,multiple,"['S-2-EP-6', 'S-3-EP-17']",Into_You_Like_a_Train,Into You Like a Train,Some_Kind_of_Miracle,Some Kind of Miracle,[]
