counter,name,character_type,diagnosis,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
115,Mary Portman,patient,['Coma'],"['Colostomy bag', 'Colostomy bag reversal surgery']",Mandy Moore,multiple,"['S-6-EP-23', 'S-7-EP-7']",Sanctuary,Sanctuary,That%27s_Me_Trying,That's Me Trying,"['6', '7']"
116,Gladys Pulcher,patient,"['Lung cancer', 'Post-op infection', 'Bed sores']",['Surgery'],Doris Roberts,single,"['S-7-EP-19', 'S-7-EP-19']",It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
117,Nikki Ratlin,patient,"['Broken leg', 'Splenic laceration']",['Casting'],Michaela Watkins,single,"['S-2-EP-21', 'S-2-EP-21']",Superstition,Superstition,Superstition,Superstition,['2']
118,Marjorie Reed,patient,['Stage IV small-cell lung cancer'],['No treatment available'],Eileen Ryan,single,"['S-11-EP-2', 'S-11-EP-2']",Puzzle_With_a_Piece_Missing,Puzzle With a Piece Missing,Puzzle_With_a_Piece_Missing,Puzzle With a Piece Missing,['11']
119,Robbie Reeves,patient,"['Scalp laceration', 'Congenital AVM', 'Brain bleed']","['Stitches', 'Surgery']",Micah Nelson,single,"['S-13-EP-6', 'S-13-EP-6']",Roar,Roar,Roar,Roar,['13']
120,Lily Reilly,family,['No diagnosis available'],['No treatment available'],Marisol Nichols,single,"['S-6-EP-7', 'S-6-EP-7']",The_World_According_to_Jake,The World According to Jake,The_World_According_to_Jake,The World According to Jake,['6']
121,Melanie Reynolds,patient,['Catastrophic internal injuries'],"['Splenectomy', 'Lung resection', 'Surgery']",Sarah LaFleur,single,"['S-2-EP-24', 'S-2-EP-24']",Damage_Case,Damage Case,Damage_Case,Damage Case,['2']
122,Oliver Richter,patient,['Aortic dissection'],['Surgery'],Dondré T. Whitfield,single,"['S-7-EP-15', 'S-7-EP-15']",Golden_Hour,Golden Hour,Golden_Hour,Golden Hour,['7']
123,Timothy Robbins,family,['No diagnosis available'],['No treatment available'],,no information available,[],,,,,[]
124,Phillip Robinson,patient,"['Hand injury', 'Malignant glioma']","['Splinting', 'Antibiotics']",Jason O'Mara,multiple,"['S-4-EP-12', 'S-4-EP-13']",Where_the_Wild_Things_Are,Where the Wild Things Are,Piece_of_My_Heart,Piece of My Heart,['4']
125,Scott Robinson,patient,"['Bowel evisceration', 'Mauling injuries']","['Surgery', 'Stitches']",Steven Flynn,single,"['S-4-EP-12', 'S-4-EP-12']",Where_the_Wild_Things_Are,Where the Wild Things Are,Where_the_Wild_Things_Are,Where the Wild Things Are,['4']
126,Cathy Rogerson,patient,"['Fibrodysplasia ossificans progressiva', 'Internal bleeding']","['Anti-inflammatory meds', 'Surgery']",Catherine Dent,single,"['S-3-EP-19', 'S-3-EP-19']",My_Favorite_Mistake,My Favorite Mistake,My_Favorite_Mistake,My Favorite Mistake,['3']
127,Emily Russell,patient,"['Hypoplastic left heart syndrome', 'Prematurity', 'Restricted atrial septum']","['Surgery', 'NICU Care']",No actor listed.,multiple,"['S-2-EP-10', 'S-2-EP-11']",Much_too_Much,Much too Much,Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,['2']
128,Ruthie Sales,patient,"['Crushed ankle', 'Osteoporosis', 'Bleeding duodenal ulcer']","['Ipubrofen', 'Surgery']",Maggie Siff,single,"['S-4-EP-4', 'S-4-EP-4']",The_Heart_of_the_Matter,The Heart of the Matter,The_Heart_of_the_Matter,The Heart of the Matter,['4']
129,Tony Savitch,patient,['No diagnosis available'],"['Coronary artery bypass surgery', 'Attempted resuscitation']",David Vegh,single,"['S-1-EP-1', 'S-1-EP-1']",A_Hard_Day%27s_Night,A Hard Day's Night,A_Hard_Day%27s_Night,A Hard Day's Night,['1']
130,Erin Shandley,patient,['Brain death'],['Organ harvesting'],Bhama Roget,single,"['S-4-EP-5', 'S-4-EP-5']",Haunt_You_Every_Day,Haunt You Every Day,Haunt_You_Every_Day,Haunt You Every Day,['4']
131,Derek Shepherd,attending,['No diagnosis available'],['No treatment available'],Patrick Dempsey,,[],,,,,[]
