counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,single,[],Old_Time_Rock_and_Roll,Old Time Rock and Roll,,,[]
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,single,[],17_Seconds,17 Seconds,,,[]
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,single,[],In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,,,[]
3,Reed Adamson,['No diagnosis available'],,multiple,['S-6-EP-5'],Invasion,Invasion,,,[]
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,single,[],You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',,,[]
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,single,[],Suicide_is_Painless,Suicide is Painless,,,[]
6,Grandma Anderson,['Car accident injuries'],,multiple,['S-8-EP-9'],Dark_Was_the_Night,Dark Was the Night,,,[]
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,single,[],All_By_Myself,All By Myself,,,[]
8,Jessica Anderson,['Crash injuries'],,single,[],Suddenly,Suddenly,,,[]
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,multiple,['S-8-EP-9'],Dark_Was_the_Night,Dark Was the Night,,,[]
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,single,[],Invest_in_Love,Invest in Love,,,[]
11,Harper Avery,['No diagnosis available'],,multiple,['S-6-EP-16'],Perfect_Little_Accident,Perfect Little Accident,,,[]
12,Samuel Norbert Avery,['No diagnosis available'],,single,[],All_I_Could_Do_Was_Cry,All I Could Do Was Cry,,,[]
13,Alexander Ball,['Stage IV-B pancreatic cancer'],,single,[],Nothing_to_Fear,Nothing to Fear,,,[]
14,Joyce Basche,"['MRSA', 'Abscess']",,multiple,['S-9-EP-20'],She%27s_Killing_Me,She's Killing Me,,,[]
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",,single,[],I_Saw_What_I_Saw,I Saw What I Saw,,,[]
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",,single,[],It%27s_a_Long_Way_Back,It's a Long Way Back,,,[]
17,Grace Bickham,['End-stage COPD'],,single,[],Break_on_Through,Break on Through,,,[]
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",,single,[],Both_Sides_Now,Both Sides Now,,,[]
